filename,grade,reasons,track,source_sha,match,image_sample_id,image_dataset,image_label
exact-r2__017c59f65cabc241c9ef5990259d488a7becfff0__爆炸菇（爆炸后）__v12__eyemask__d50d6fe5__c0.mp4,normal,,exact-r2,017c59f65cabc241c9ef5990259d488a7becfff0,exact,017c59f65cabc241c9ef5990259d488a7becfff0__爆炸菇（爆炸后）__v12__eyemask__d50d6fe5__c0,sku-2.0-props-matrix-untriggered-0728,normal
base-noprop__f4d25ec51527a18f0ee61a4803329a4966535857__粽子菇__v0__dbb2c007__c0.mp4,good,,base-noprop,f4d25ec51527a18f0ee61a4803329a4966535857,source_only,f4d25ec51527a18f0ee61a4803329a4966535857__森林__v0__b18a249d__c0,tutu-insert-sft-0709,bad
base-noprop__85485675b9afc7fa463bca0fd81c644d405acb2e__粽子菇__v0__51b32eee__c0.mp4,bad,还原度,base-noprop,85485675b9afc7fa463bca0fd81c644d405acb2e,source_only,85485675b9afc7fa463bca0fd81c644d405acb2e__冰晶__v0__3978ff62__c0,tutu-insert-sft-0709,bad
exact-r1__d1374c7b3666b2856a0808eca3479085172abdaf__蘑菇力__v1297__bubble__7fc52dc4__c0.mp4,bad,还原度,exact-r1,d1374c7b3666b2856a0808eca3479085172abdaf,exact,d1374c7b3666b2856a0808eca3479085172abdaf__蘑菇力__v1297__bubble__7fc52dc4__c0,sku-2.0-props-matrix-untriggered-0728,bad
exact-r1__51aaa255d1e150f9f845eb0dc6f5cf9ee644d4c2__吐司菇__v515__coffee__49cf7efc__c0.mp4,bad,还原度,exact-r1,51aaa255d1e150f9f845eb0dc6f5cf9ee644d4c2,exact,51aaa255d1e150f9f845eb0dc6f5cf9ee644d4c2__吐司菇__v515__coffee__49cf7efc__c0,sku-2.0-props-matrix-untriggered-0728,bad
base-noprop__c3ad0151cf012ab92fe134a98d4a74d428a02c98__爆炸菇（爆炸前）__v0__f33b086c__c0.mp4,good,,base-noprop,c3ad0151cf012ab92fe134a98d4a74d428a02c98,source_only,c3ad0151cf012ab92fe134a98d4a74d428a02c98__占卜__v0__798b085e__c0,tutu-insert-sft-0709,bad
base-noprop__56bc114155a57e47100a6759d7b78d0befdb0a1f__吐司菇__v0__31af3246__c0.mp4,good,,base-noprop,56bc114155a57e47100a6759d7b78d0befdb0a1f,exact,56bc114155a57e47100a6759d7b78d0befdb0a1f__吐司菇__v0__31af3246__c0,sku-2.0-noprop-merged-0721,good
base-noprop__1df7005fbb426ec84155f9de604e394437faec56__毒蘑菇__v0__a7cf07d3__c0.mp4,normal,,base-noprop,1df7005fbb426ec84155f9de604e394437faec56,exact,1df7005fbb426ec84155f9de604e394437faec56__毒蘑菇__v0__a7cf07d3__c0,sku-2.0-noprop-merged-0721,bad
base-noprop__ea77208c520ab108b30a7e6f72eddb04638cca12__汉堡菇__v0__cbef9c99__c0.mp4,bad,还原度,base-noprop,ea77208c520ab108b30a7e6f72eddb04638cca12,source_only,ea77208c520ab108b30a7e6f72eddb04638cca12__花花__v0__7320f09b__c0,tutu-insert-sft-0709,normal
exact-r1__162906640246ef44f99db4ad49276c513665eb1e__蘑菇力__v142__glasses__889682a9__c0.mp4,bad,物理规律,exact-r1,162906640246ef44f99db4ad49276c513665eb1e,exact,162906640246ef44f99db4ad49276c513665eb1e__蘑菇力__v142__glasses__889682a9__c0,sku-2.0-props-matrix-untriggered-0728,bad
