i,mean3,s42,s101,s202,cfg
-1,0.3146,0.3209,0.3187,0.3041,"{""num_leaves"": 7, ""n_estimators"": 122, ""learning_rate"": 0.0317, ""min_child_samples"": 60, ""scale_pos_weight"": 1.0689, ""feature_fraction"": 0.503, ""bagging_fraction"": 0.9871}"
0,0.2912,0.2988,0.2899,0.285,"{""num_leaves"": 23, ""n_estimators"": 80, ""learning_rate"": 0.08, ""min_child_samples"": 90, ""scale_pos_weight"": 1.6, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.85}"
1,0.309,0.3063,0.3138,0.3067,"{""num_leaves"": 15, ""n_estimators"": 180, ""learning_rate"": 0.02, ""min_child_samples"": 20, ""scale_pos_weight"": 1.0, ""feature_fraction"": 0.35, ""bagging_fraction"": 0.99}"
2,0.31,0.3107,0.3067,0.3125,"{""num_leaves"": 7, ""n_estimators"": 80, ""learning_rate"": 0.032, ""min_child_samples"": 40, ""scale_pos_weight"": 1.07, ""feature_fraction"": 0.35, ""bagging_fraction"": 0.85}"
3,0.3022,0.3027,0.3129,0.2908,"{""num_leaves"": 23, ""n_estimators"": 260, ""learning_rate"": 0.02, ""min_child_samples"": 90, ""scale_pos_weight"": 1.07, ""feature_fraction"": 0.65, ""bagging_fraction"": 0.7}"
4,0.3013,0.3005,0.3067,0.2965,"{""num_leaves"": 10, ""n_estimators"": 260, ""learning_rate"": 0.02, ""min_child_samples"": 40, ""scale_pos_weight"": 1.6, ""feature_fraction"": 0.5, ""bagging_fraction"": 0.99}"
5,0.3061,0.3014,0.3107,0.3063,"{""num_leaves"": 5, ""n_estimators"": 122, ""learning_rate"": 0.032, ""min_child_samples"": 40, ""scale_pos_weight"": 1.6, ""feature_fraction"": 0.35, ""bagging_fraction"": 0.99}"
6,0.29,0.2979,0.2788,0.2934,"{""num_leaves"": 23, ""n_estimators"": 260, ""learning_rate"": 0.05, ""min_child_samples"": 90, ""scale_pos_weight"": 1.3, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.7}"
7,0.3132,0.3152,0.3178,0.3067,"{""num_leaves"": 10, ""n_estimators"": 80, ""learning_rate"": 0.02, ""min_child_samples"": 130, ""scale_pos_weight"": 1.07, ""feature_fraction"": 0.5, ""bagging_fraction"": 0.99}"
8,0.3056,0.3169,0.3045,0.2952,"{""num_leaves"": 5, ""n_estimators"": 350, ""learning_rate"": 0.032, ""min_child_samples"": 130, ""scale_pos_weight"": 1.07, ""feature_fraction"": 0.65, ""bagging_fraction"": 0.99}"
9,0.3112,0.3152,0.3116,0.3067,"{""num_leaves"": 5, ""n_estimators"": 122, ""learning_rate"": 0.032, ""min_child_samples"": 40, ""scale_pos_weight"": 1.07, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.99}"
10,0.2906,0.293,0.2806,0.2983,"{""num_leaves"": 15, ""n_estimators"": 180, ""learning_rate"": 0.08, ""min_child_samples"": 20, ""scale_pos_weight"": 1.3, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.85}"
11,0.2927,0.2974,0.2939,0.2868,"{""num_leaves"": 23, ""n_estimators"": 122, ""learning_rate"": 0.05, ""min_child_samples"": 130, ""scale_pos_weight"": 1.6, ""feature_fraction"": 0.35, ""bagging_fraction"": 0.99}"
12,0.2912,0.2983,0.2939,0.2815,"{""num_leaves"": 23, ""n_estimators"": 350, ""learning_rate"": 0.08, ""min_child_samples"": 130, ""scale_pos_weight"": 1.0, ""feature_fraction"": 0.35, ""bagging_fraction"": 0.7}"
13,0.2971,0.2996,0.2899,0.3019,"{""num_leaves"": 23, ""n_estimators"": 260, ""learning_rate"": 0.05, ""min_child_samples"": 20, ""scale_pos_weight"": 1.07, ""feature_fraction"": 0.5, ""bagging_fraction"": 0.85}"
14,0.3069,0.309,0.309,0.3027,"{""num_leaves"": 15, ""n_estimators"": 80, ""learning_rate"": 0.08, ""min_child_samples"": 20, ""scale_pos_weight"": 1.07, ""feature_fraction"": 0.65, ""bagging_fraction"": 0.7}"
15,0.3126,0.3103,0.3152,0.3125,"{""num_leaves"": 10, ""n_estimators"": 80, ""learning_rate"": 0.032, ""min_child_samples"": 90, ""scale_pos_weight"": 1.3, ""feature_fraction"": 0.65, ""bagging_fraction"": 0.85}"
16,0.2903,0.2837,0.2965,0.2908,"{""num_leaves"": 5, ""n_estimators"": 122, ""learning_rate"": 0.08, ""min_child_samples"": 20, ""scale_pos_weight"": 1.3, ""feature_fraction"": 0.65, ""bagging_fraction"": 0.99}"
17,0.3054,0.305,0.3098,0.3014,"{""num_leaves"": 15, ""n_estimators"": 180, ""learning_rate"": 0.032, ""min_child_samples"": 60, ""scale_pos_weight"": 1.3, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.99}"
18,0.2905,0.2926,0.2943,0.2846,"{""num_leaves"": 15, ""n_estimators"": 260, ""learning_rate"": 0.05, ""min_child_samples"": 90, ""scale_pos_weight"": 1.0, ""feature_fraction"": 0.5, ""bagging_fraction"": 0.99}"
19,0.3017,0.3045,0.3103,0.2903,"{""num_leaves"": 15, ""n_estimators"": 122, ""learning_rate"": 0.05, ""min_child_samples"": 40, ""scale_pos_weight"": 1.0, ""feature_fraction"": 0.65, ""bagging_fraction"": 0.99}"
20,0.2961,0.2952,0.3054,0.2877,"{""num_leaves"": 15, ""n_estimators"": 80, ""learning_rate"": 0.08, ""min_child_samples"": 60, ""scale_pos_weight"": 1.6, ""feature_fraction"": 0.35, ""bagging_fraction"": 0.7}"
21,0.3056,0.3005,0.3103,0.3059,"{""num_leaves"": 5, ""n_estimators"": 260, ""learning_rate"": 0.05, ""min_child_samples"": 60, ""scale_pos_weight"": 1.6, ""feature_fraction"": 0.35, ""bagging_fraction"": 0.7}"
22,0.3076,0.3169,0.3019,0.3041,"{""num_leaves"": 5, ""n_estimators"": 80, ""learning_rate"": 0.032, ""min_child_samples"": 60, ""scale_pos_weight"": 1.6, ""feature_fraction"": 0.65, ""bagging_fraction"": 0.99}"
23,0.3132,0.309,0.3094,0.3214,"{""num_leaves"": 15, ""n_estimators"": 80, ""learning_rate"": 0.02, ""min_child_samples"": 20, ""scale_pos_weight"": 1.6, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.7}"
24,0.3109,0.3107,0.3085,0.3134,"{""num_leaves"": 10, ""n_estimators"": 180, ""learning_rate"": 0.02, ""min_child_samples"": 130, ""scale_pos_weight"": 1.6, ""feature_fraction"": 0.35, ""bagging_fraction"": 0.85}"
25,0.2955,0.2961,0.2939,0.2965,"{""num_leaves"": 5, ""n_estimators"": 350, ""learning_rate"": 0.08, ""min_child_samples"": 90, ""scale_pos_weight"": 1.0, ""feature_fraction"": 0.65, ""bagging_fraction"": 0.85}"
26,0.3135,0.3143,0.3191,0.3072,"{""num_leaves"": 7, ""n_estimators"": 260, ""learning_rate"": 0.02, ""min_child_samples"": 20, ""scale_pos_weight"": 1.0, ""feature_fraction"": 0.5, ""bagging_fraction"": 0.85}"
27,0.3075,0.3094,0.3129,0.3001,"{""num_leaves"": 7, ""n_estimators"": 80, ""learning_rate"": 0.02, ""min_child_samples"": 40, ""scale_pos_weight"": 1.3, ""feature_fraction"": 0.5, ""bagging_fraction"": 0.85}"
28,0.3098,0.3156,0.3107,0.3032,"{""num_leaves"": 15, ""n_estimators"": 122, ""learning_rate"": 0.02, ""min_child_samples"": 20, ""scale_pos_weight"": 1.0, ""feature_fraction"": 0.8, ""bagging_fraction"": 0.85}"
