filename,adj_mean,adj_min,marg_drop,marg_end_drop,marg_first,marg_last,marg_lowfrac,marg_max,marg_mean,marg_min,marg_slope,marg_std,oth_mean,own_drop,own_end_drop,own_first,own_gap12,own_last,own_lowfrac,own_max,own_mean,own_min,own_slope,own_std,own_switch,src_drop,src_end_drop,src_first,src_last,src_lowfrac,src_max,src_mean,src_min,src_slope,src_std
exact-r2__017c59f65cabc241c9ef5990259d488a7becfff0__爆炸菇（爆炸后）__v12__eyemask__d50d6fe5__c0.mp4,0.9776129126548767,0.915498673915863,0.045878768,0.020827532,0.030732006,0.009904474,0.21875,0.036628723,0.013822544,-0.015146762,-0.0010307371681911146,0.014373231,0.43187838792800903,0.10545394,0.084058225,0.49679497,0.012446130625903606,0.41273674,0.21875,0.49679497,0.44570094,0.39134103,-0.002542143889711036,0.031416167,0.12903225806451613,0.17537898,0.107393265,1.0,0.89260674,0.125,1.0,0.9192724,0.824621,-0.004140638066264525,0.04856604
base-noprop__f4d25ec51527a18f0ee61a4803329a4966535857__粽子菇__v0__dbb2c007__c0.mp4,0.9594322443008423,0.888081431388855,0.027688086,0.023284972,0.15298975,0.12970477,0.125,0.17302188,0.14700322,0.12530166,0.00014542697592914616,0.011390829,0.3625280261039734,0.08632594,-0.0046830177,0.5347304,0.03613072633743286,0.5394134,0.15625,0.5648953,0.50953126,0.44840443,5.5234109070659575e-05,0.030789701,0.0,0.1445725,0.12599087,1.0,0.87400913,0.15625,1.0,0.90450215,0.8554275,-0.0019087787182274865,0.032507177
base-noprop__85485675b9afc7fa463bca0fd81c644d405acb2e__粽子菇__v0__51b32eee__c0.mp4,0.9771077036857605,0.9193084239959717,0.09199917,0.06737769,0.1721986,0.10482091,0.15625,0.1721986,0.12989436,0.08019942,-0.0019093487750400158,0.023047892,0.5728639364242554,0.056863546,-0.0010857582,0.67887986,0.013613898307085037,0.6799656,0.09375,0.7502481,0.70275825,0.6220163,0.0003794246842085217,0.027893117,0.25806451612903225,0.16769022,0.065966785,1.0,0.9340332,0.25,1.0,0.91786706,0.8323098,-0.0043840028695172,0.048060495
exact-r1__d1374c7b3666b2856a0808eca3479085172abdaf__蘑菇力__v1297__bubble__7fc52dc4__c0.mp4,0.9973576664924622,0.9946087002754211,0.015944231,0.0024600886,-0.04171138,-0.044171467,0.15625,-0.03743948,-0.046401046,-0.05765561,-0.0002967981967113684,0.0048404736,0.020191464573144913,0.008043932,-0.0045569036,-0.02557853,0.010171283036470413,-0.021021627,0.15625,-0.014743256,-0.02620958,-0.033622462,0.00029843509906651573,0.0049035135,0.0,0.024824083,0.023896098,1.0000002,0.97610414,0.21875,1.0000002,0.9865042,0.97517616,-0.0008307729036577012,0.007927592
exact-r1__51aaa255d1e150f9f845eb0dc6f5cf9ee644d4c2__吐司菇__v515__coffee__49cf7efc__c0.mp4,0.9984652996063232,0.9948513507843018,0.0034698322,0.0012043379,-0.020113572,-0.02131791,0.15625,-0.015402533,-0.019491687,-0.023583405,2.320769688119947e-05,0.001988752,0.0536707267165184,0.0058118105,0.00039929152,0.036190398,0.012109814211726189,0.035791107,0.15625,0.036395192,0.034179043,0.030378588,3.6373812994781284e-05,0.0016274956,0.0,0.012520313,0.010061622,1.0000001,0.9899385,0.09375,1.0000001,0.99242425,0.9874798,-0.000336222011934594,0.003426164
base-noprop__c3ad0151cf012ab92fe134a98d4a74d428a02c98__爆炸菇（爆炸前）__v0__f33b086c__c0.mp4,0.9908120632171631,0.9758603572845459,0.040023,0.009582996,0.024469495,0.014886498,0.15625,0.03326595,0.014920676,-0.015553504,-0.00051080725016482,0.011892981,0.5242642164230347,0.07643047,0.012586653,0.5663978,0.01232165191322565,0.55381113,0.1875,0.5864624,0.5391849,0.48996732,-0.0010222713640533159,0.028536627,0.0,0.069864035,0.053442538,1.0,0.94655746,0.15625,1.0,0.95865273,0.93013597,-0.00198324806878992,0.022742782
base-noprop__56bc114155a57e47100a6759d7b78d0befdb0a1f__吐司菇__v0__31af3246__c0.mp4,0.9961124062538147,0.9883512854576111,0.0018864125,-0.003996432,-0.075513095,-0.07151666,0.21875,-0.0566743,-0.06701133,-0.07739951,0.0002274034255323508,0.0060749818,0.3001493513584137,0.04643397,0.024841309,0.2556133,0.01689499244093895,0.23077199,0.1875,0.25977474,0.23313802,0.20917933,-0.00033849424783609464,0.012514066,0.0,0.045773745,0.021522403,1.0,0.9784776,0.125,1.0,0.97511005,0.95422626,-0.0006247032488371001,0.0126518905
base-noprop__1df7005fbb426ec84155f9de604e394437faec56__毒蘑菇__v0__a7cf07d3__c0.mp4,0.9991015791893005,0.9977248311042786,0.010455102,-0.002462551,-0.10215524,-0.09969269,0.15625,-0.09352288,-0.10189046,-0.11261034,0.0002758795234355552,0.004833844,0.1734093725681305,0.006852746,0.0027059764,0.073773175,0.0025389245711266994,0.0710672,0.15625,0.07811223,0.07151891,0.06692043,-5.162288393835971e-05,0.0033179345,0.06451612903225806,0.010717988,0.004398346,1.0,0.99560165,0.25,1.0,0.99384105,0.989282,-0.0001817896984014892,0.0030852046
base-noprop__ea77208c520ab108b30a7e6f72eddb04638cca12__汉堡菇__v0__cbef9c99__c0.mp4,0.9921220541000366,0.9718143939971924,0.01763469,0.010001808,0.025541365,0.015539557,0.125,0.034172,0.021434002,0.007906675,-0.0001127817435872862,0.006229459,0.384796142578125,0.04878831,0.041479796,0.4335239,0.05393730849027634,0.3920441,0.28125,0.4335239,0.4062301,0.38473558,-0.0011490074934060897,0.012961141,0.0,0.05726117,0.011241496,1.0,0.9887585,0.125,1.0,0.98193824,0.94273883,-0.0007400197848196694,0.014321927
exact-r1__162906640246ef44f99db4ad49276c513665eb1e__蘑菇力__v142__glasses__889682a9__c0.mp4,0.9987651109695435,0.996436357498169,0.00010776892,-0.005462222,-0.040253848,-0.034791626,0.1875,-0.032633945,-0.03642336,-0.040361617,0.00020146789916864632,0.0023308478,0.04190824553370476,0.0023092506,-0.008733907,0.0011567911,0.016440847888588905,0.009890698,0.21875,0.0126380995,0.0054848837,-0.0011524595,0.0004383048990535169,0.004625977,0.0,0.01582843,0.014457583,0.9999999,0.9855423,0.40625,0.9999999,0.9913391,0.98417145,-0.000546673558586823,0.00535391
