filename,al10_drop,al10_last,al10_mean,al10_min,al10_p10,al10_slope,al10_std,al_drop,al_last,al_mean,al_min,al_p10,al_slope,al_std,mot_max,mot_mean,sf10_drop,sf10_last,sf10_mean,sf10_min,sf10_p10,sf10_slope,sf10_std,sf_drop,sf_last,sf_mean,sf_min,sf_p10,sf_slope,sf_std,worst_patch
exact-r2__017c59f65cabc241c9ef5990259d488a7becfff0__爆炸菇（爆炸后）__v12__eyemask__d50d6fe5__c0.mp4,0.86776495,0.12468039,0.32555372,0.12289503,0.12405514,-0.03058848627971802,0.24051715,0.5773479,0.4139613,0.6596176,0.4139613,0.42178407,-0.026086048116325852,0.17739834,0.3530622720718384,0.19529879093170166,0.453458,0.5372019,0.7015313,0.5372019,0.54322135,-0.01818226766680541,0.13090467,0.22605038,0.76702356,0.85491645,0.7663739,0.7681497,-0.009697081602138035,0.06757363,0.32465311884880066
base-noprop__f4d25ec51527a18f0ee61a4803329a4966535857__粽子菇__v0__dbb2c007__c0.mp4,0.5298946,0.40548325,0.40960357,0.33118582,0.3402516,-0.008933471744003968,0.115456924,0.29072356,0.6915014,0.6977401,0.64058745,0.6489489,-0.005439327286166164,0.062374197,0.18734383583068848,0.15390682220458984,0.19075686,0.72826236,0.7479924,0.69585305,0.71130854,-0.00262792767743349,0.03684349,0.13609129,0.8390875,0.8516468,0.8114405,0.822286,-0.00227868509858022,0.027244259,0.4351884722709656
base-noprop__85485675b9afc7fa463bca0fd81c644d405acb2e__粽子菇__v0__51b32eee__c0.mp4,0.8049896,0.4881525,0.5166316,0.12729497,0.15577239,-0.03542804489788332,0.26625574,0.46343988,0.76297164,0.7594244,0.49972707,0.55564064,-0.018973805334257052,0.14413878,0.2774255871772766,0.11718957126140594,0.31312406,0.8074736,0.7803198,0.6231736,0.66440547,-0.010967334033001085,0.08568586,0.19868374,0.8872321,0.87661386,0.77278507,0.79706377,-0.007550454658010761,0.057572,0.4210014343261719
exact-r1__d1374c7b3666b2856a0808eca3479085172abdaf__蘑菇力__v1297__bubble__7fc52dc4__c0.mp4,0.58078384,0.58548665,0.7243533,0.40778863,0.44988292,-0.02806382446656585,0.199459,0.14671701,0.8803337,0.9189407,0.8480064,0.86177564,-0.006628934868239587,0.046088982,0.05123239755630493,0.025803351774811745,0.33249164,0.78288376,0.8442772,0.6560807,0.72189015,-0.012549249020960971,0.09268149,0.09628391,0.92389417,0.94474405,0.8989341,0.90801233,-0.004327937371646014,0.03043487,0.3043285608291626
exact-r1__51aaa255d1e150f9f845eb0dc6f5cf9ee644d4c2__吐司菇__v515__coffee__49cf7efc__c0.mp4,0.10014379,0.94651854,0.9498868,0.8899313,0.91216135,-0.002791546903580077,0.025717596,0.04430473,0.9639133,0.9687057,0.947163,0.95434105,-0.0014916726134040085,0.0118173,0.01564919948577881,0.008142984472215176,0.059945405,0.948949,0.957034,0.93012995,0.93482566,-0.0022233625645694316,0.017094025,0.030876637,0.9730206,0.97684866,0.9628122,0.9674616,-0.0010964822156627344,0.00850063,0.4324505925178528
base-noprop__c3ad0151cf012ab92fe134a98d4a74d428a02c98__爆炸菇（爆炸前）__v0__f33b086c__c0.mp4,0.7308769,0.4536672,0.43171784,0.18748544,0.18976001,-0.019047015166211982,0.21464524,0.3759793,0.7579533,0.7352505,0.58096635,0.5951723,-0.009742939601773817,0.11529829,0.2796297073364258,0.16470983624458313,0.19613898,0.80057615,0.81749046,0.73992914,0.763019,-0.005158359766477652,0.052106544,0.11447942,0.89230955,0.89996016,0.86049783,0.86253583,-0.003303817550655417,0.03271696,0.41500434279441833
base-noprop__56bc114155a57e47100a6759d7b78d0befdb0a1f__吐司菇__v0__31af3246__c0.mp4,0.5918005,0.93254924,0.7056048,0.38448477,0.40191084,0.007040181414411935,0.23571974,0.1835612,0.96412116,0.9036596,0.8067745,0.814328,0.0015155422711089748,0.067568034,0.10848897695541382,0.04631023854017258,0.19625586,0.93603164,0.87184733,0.7800294,0.7940959,0.000670875485235538,0.06513764,0.079639435,0.9702475,0.94997007,0.91085756,0.9190094,7.091238800244524e-05,0.024195204,0.5114284157752991
base-noprop__1df7005fbb426ec84155f9de604e394437faec56__毒蘑菇__v0__a7cf07d3__c0.mp4,0.21305597,0.9696746,0.91135824,0.77913165,0.7913765,-0.0033352410369239956,0.07237424,0.06754899,0.98083246,0.96472126,0.9284704,0.9305321,-0.0011395847962307874,0.022185873,0.03746151924133301,0.013842012733221054,0.08548057,0.9712758,0.9471429,0.90670705,0.91189027,-0.0015070222818804604,0.026791357,0.030443192,0.98370457,0.97856337,0.96560264,0.9660949,-0.0006341124358384384,0.0092551,0.5222183465957642
base-noprop__ea77208c520ab108b30a7e6f72eddb04638cca12__汉堡菇__v0__cbef9c99__c0.mp4,0.4852951,0.9632143,0.85732716,0.4967086,0.53199875,-0.007544088976185321,0.16401398,0.12729818,0.9805596,0.9505289,0.8635432,0.8754534,-0.0022800520592527345,0.040726714,0.07662439346313477,0.021847067400813103,0.14855546,0.96484303,0.930215,0.83344835,0.86958915,-0.003204950289763943,0.044425223,0.05068177,0.9825828,0.97237605,0.9401676,0.9480678,-0.0011058882055546408,0.01510227,0.6162360906600952
exact-r1__162906640246ef44f99db4ad49276c513665eb1e__蘑菇力__v142__glasses__889682a9__c0.mp4,0.5224894,0.55581903,0.75502396,0.46585155,0.5446127,-0.027215223420749994,0.2005231,0.117079794,0.87417316,0.92008525,0.8722553,0.87431705,-0.005917002089881141,0.042258546,0.06141948699951172,0.03592080995440483,0.23706591,0.76806915,0.87282175,0.75127506,0.76830137,-0.012552242446322696,0.090505704,0.059006393,0.93463993,0.9560061,0.9330627,0.9346808,-0.0027401434927589946,0.019931458,0.4329335391521454
