cluster,auc_top20,n_bad,n_good,auc_occ,occ_bad,occ_good
16,0.6038415366146459,170,49,0.5100505636604774,0.023826208695487898,0.01618876237387999
15,0.5870617110799439,460,155,0.6127735411140584,0.012816081737036113,0.01122464826566178
7,0.5593932748538012,456,156,0.40330736074270557,0.02138061981050683,0.024301691060289187
51,0.5565078037904125,460,156,0.5660919540229885,0.017283549550074537,0.01603144140069848
33,0.5546606850388094,453,155,0.44178271441202477,0.02036828903413916,0.02251714674195029
9,0.5535615605658709,464,156,0.4719551282051282,0.012158666064814017,0.012025754105484511
18,0.5530312308634415,230,71,0.5380470822281167,0.013782592970000456,0.011447666801799929
30,0.5511111111111111,225,73,0.5249640804597702,0.014227864663353275,0.010764726081552217
26,0.5403401503970764,459,155,0.468273375331565,0.012597605953174286,0.012566841674173318
52,0.5382616249963189,441,154,0.42992926613616267,0.010685537718239158,0.01182444518636511
54,0.5379641909814323,464,156,0.37997347480106103,0.01776410951986802,0.019996125574710158
23,0.53515625,112,32,0.5256203028293546,0.007178659658907588,0.005639876806102634
40,0.5330736074270557,464,156,0.5275613395225465,0.008277944089145626,0.008031914333499675
57,0.5312868949232585,451,154,0.42522518788682584,0.020532026005525304,0.025289618614292773
60,0.5290322580645161,31,20,0.47465600132625996,0.003992131317166365,0.0043504333852311195
3,0.5274898119682563,197,71,0.48455459770114945,0.011431097690499395,0.015333240993310068
41,0.5243729096989966,460,156,0.43212588417329795,0.015290072250163236,0.016702975915560244
24,0.5231611893583724,142,45,0.510195623342175,0.010359243435764649,0.010965544386971154
53,0.522453594924812,448,152,0.4743658819628647,0.020596047298265148,0.022341972396331122
31,0.5204785107634751,439,151,0.4619391025641026,0.011630271207449293,0.011927613435180598
36,0.520277503873785,458,155,0.44703940097259065,0.01149192066486624,0.01230149796190353
50,0.5200436221419976,277,96,0.4556531830238727,0.027219924396953702,0.036070098388827854
35,0.5196446410732125,455,154,0.48676503094606544,0.019968061583435604,0.019769965330969648
59,0.5188207647938474,453,155,0.395902409372237,0.009313568192753394,0.011618093822530278
0,0.516969141969142,462,156,0.5092078359858532,0.026136636773718656,0.025082441139132987
38,0.5165591811377689,439,154,0.47766080901856767,0.012453413835280529,0.012724152658285446
49,0.5122716894977168,146,48,0.49731984969053933,0.008950310040901062,0.011723812840535856
34,0.5111447017831523,328,119,0.46738229442970824,0.020598007492166514,0.02481780185887511
37,0.5108100358422939,450,155,0.48744197612732093,0.02932362629161155,0.030307389273254912
27,0.504997525977239,430,141,0.49293352122015915,0.012029648276899807,0.013093006513501702
20,0.5030973451327434,452,155,0.5142020335985853,0.018327129033308045,0.018055808404235988
47,0.5022274014632995,446,152,0.5074463969938108,0.015714966236337845,0.01571696989290296
21,0.5016076637496685,419,144,0.4791528514588859,0.015768099470421362,0.016769366521986823
17,0.49982040229885055,464,156,0.4197336427939876,0.014898222313841069,0.016026769816695135
29,0.4997513144806025,454,155,0.49763759946949604,0.031285885970637584,0.031913964157922296
42,0.499094012605042,320,119,0.4671336206896552,0.01605469726857712,0.017764833391171474
56,0.49532224532224534,182,74,0.4496090296198055,0.009353756003921743,0.008996248426662867
12,0.49448975260732475,434,152,0.48207476790450926,0.012038494511567447,0.012636516606929715
55,0.49339591294234925,463,156,0.46478503536693194,0.019683986562508846,0.021046224406820795
19,0.492951837556637,295,101,0.521227066755084,0.0118555465430472,0.008758364862254156
44,0.49024565456235736,461,154,0.48101790450928383,0.019676688059449,0.020028230954061574
48,0.4894747044000775,385,134,0.4735024314765694,0.011651601660149379,0.014720906299980355
39,0.4876784208389293,317,101,0.5171792108753316,0.028828014409173937,0.021166587549901424
45,0.4875923748740343,458,156,0.5335640473032714,0.010697981352795798,0.010123200835261914
63,0.4865300821183174,459,156,0.5400848253757736,0.014688864262014456,0.013918958019860593
62,0.4864339464882943,460,156,0.533992318744474,0.02377958126822671,0.02185791673326228
32,0.4854030501089325,459,155,0.5202461870026526,0.014496696580239254,0.013659322742140129
28,0.48521530948756975,438,144,0.5066451149425287,0.020281825031331073,0.01946710307567441
2,0.479536952071716,457,155,0.46888815207780726,0.013100877677048563,0.014235488775056511
61,0.4738015607580825,460,156,0.5262696175950486,0.013233191509886796,0.012680969406403593
13,0.4733738483738484,462,156,0.48657852564102566,0.01478401462793681,0.015410867360032672
1,0.4727166428478628,358,129,0.45963887046861185,0.01894366260226957,0.021283273403258262
58,0.46950529235297445,453,156,0.4640597369584439,0.012332040216795445,0.013175918704906975
11,0.4671339675273586,451,155,0.4798643346595933,0.03201817093666529,0.032835364482156855
8,0.46262080330707783,459,156,0.5309944186560566,0.010374944721404161,0.009385666485396542
43,0.4620421753607103,265,85,0.5151552829354553,0.009910614663099952,0.009152587148481724
46,0.462015193922431,205,61,0.5282313770999116,0.010478759877961947,0.008590239436767563
4,0.4606986899563319,458,156,0.5049665671971706,0.016474412468649394,0.016672042680112454
6,0.45411542100283825,453,154,0.5206675508399646,0.01565740255082272,0.01495847593552066
25,0.4433690855259483,459,156,0.5079299292661361,0.01335335113370908,0.013211708902295302
10,0.41364255387326765,219,57,0.5592119805481874,0.006070601728379662,0.0032544518084954357
22,0.38743479042993345,218,51,0.5770681366047745,0.024506423547033387,0.015053897315199443
5,0.33163265306122447,70,28,0.49607648099027407,0.008806908024563884,0.007892761056078565
14,0.2967914438502674,88,17,0.5380056366047745,0.0072088509580580645,0.002598295081250879
