idx,stem,human_label,y_bad,defects_raw,p_bad,threshold,pool_size,err_type,dim_stiff,dim_fidelity,dim_jerky,dim_physics,dim_limbs_frozen,dim_impossible_obj,dim_temporal_consist,dim_motion_discont,dim_size_change,dim_frame_jump,def_impossible_obj,def_size_change,def_frame_jump,def_physics,def_fidelity
0,d65146967bd5d8b3d6a20372a090f892,good,0,,0.0209,0.1481,600,,0.0003,0.0534,0.3112,0.074,0.0067,0.0,0.0534,0.074,0.0,0.148,0,0,0,0,0
1,623283031144918701ff00756bbff9e5,good,0,,0.019,0.1481,600,,0.0003,0.0916,0.3112,0.1604,0.0015,0.0,0.0916,0.1345,0.0002,0.2689,0,0,0,0,0
2,4f95a8bc31851629a3a3d20087ed3083,bad,1,物理规律,0.0607,0.1481,600,漏检FN,0.0025,0.074,0.3529,0.1345,0.0601,0.0,0.074,0.0912,0.0002,0.1824,0,0,0,1,0
3,1dde93293abd56023af8238960979b3b,good,0,,0.0687,0.1481,600,,0.0293,0.0408,0.2965,0.0955,0.0601,0.0086,0.0408,0.0478,0.0293,0.0953,0,0,0,0,0
4,f9a84abe86a77763fb64a7407043d881,good,0,,0.0164,0.1481,600,,0.0,0.0917,0.1888,0.1888,0.0004,0.0001,0.0917,0.074,0.0002,0.148,0,0,0,0,0
5,a400e3f6d8a03acf45c1ebe779aaa5f6,bad,1,物理规律,0.0,0.1481,600,漏检FN,0.0019,0.1345,0.2344,0.1009,0.011,0.0,0.1345,0.0912,0.0019,0.1824,0,0,0,1,0
6,dcc37d479ecbd69ee0dcfd7e6c993c43,good,0,,0.0393,0.1481,600,,0.0009,0.0338,0.25,0.0596,0.1192,0.0,0.0338,0.0477,0.0002,0.0953,0,0,0,0,0
7,34f61dc6f45300466b2c4b9161f7bfde,good,0,,0.0021,0.1481,600,,0.0007,0.0666,0.2811,0.1345,0.0141,0.0,0.0666,0.0237,0.0001,0.0474,0,0,0,0,0
8,8fa1bc8fc96667f6bb7fe02c24bc229e,good,0,,0.0217,0.1481,600,,0.0,0.1472,0.2037,0.1888,0.0052,0.0001,0.1472,0.0596,0.0086,0.1192,0,0,0,0,0
9,4b2a46fa5e2cbcd9030620ae6b6d7ca8,good,0,,0.0,0.1481,600,,0.0003,0.0302,0.2656,0.0741,0.0067,0.0002,0.0302,0.0477,0.0002,0.0953,0,0,0,0,0
10,0180643b8a4cbea0dacee2ec07c30abc,good,0,,0.0238,0.1481,600,,0.018,0.0743,0.2811,0.1114,0.0601,0.0,0.0743,0.0534,0.0,0.1067,0,0,0,0,0
11,dca64229e6f2cd19c3998f97df1663f7,good,0,,0.0862,0.1481,600,,0.0041,0.0535,0.2963,0.0665,0.1192,0.0,0.0535,0.0534,0.0001,0.1067,0,0,0,0,0
12,ffc1bfa0600c3f0b3fd74c020188a0f4,good,0,,0.0054,0.1481,600,,0.0001,0.1241,0.2963,0.0665,0.0012,0.0,0.1241,0.0596,0.0003,0.1192,0,0,0,0,0
13,df54912f8a3235fc03d35bb3e1db48a1,good,0,,0.067,0.1481,600,,0.0067,0.0672,0.3112,0.0912,0.011,0.0,0.0672,0.0301,0.0004,0.0601,0,0,0,0,0
14,6bfb66da4da9e4e4edc452b7b1e81a40,good,0,,0.0572,0.1481,600,,0.2689,0.1291,0.1744,0.0446,0.3775,0.0041,0.1291,0.0426,0.148,0.0851,0,0,0,0,0
15,aa980fb1688b7d6e88524e3ce3234ed4,good,0,,0.0177,0.1481,600,,0.0293,0.0313,0.25,0.038,0.148,0.0002,0.0313,0.0301,0.0019,0.0601,0,0,0,0,0
16,a8678b183370e015a1d39e69fc4bc2d7,good,0,,0.0112,0.1481,600,,0.0004,0.0823,0.3529,0.1471,0.0293,0.0001,0.0823,0.0823,0.0003,0.1645,0,0,0,0,0
17,adf18ffe3824df02b6f1db0037fcf60d,good,0,,0.0091,0.1481,600,误杀FP,0.023,0.123,0.1743,0.9239,0.0373,0.9959,0.123,0.0534,0.2227,0.1067,0,0,0,0,0
18,066e39f4afb2254d3085e4e8a1172493,good,0,,0.04,0.1481,600,误杀FP,0.0003,0.2039,0.2811,0.9619,0.0141,0.9997,0.2039,0.0912,0.0,0.1824,0,0,0,0,0
19,ed384e646526c8e9444462ff18d20306,good,0,,0.0164,0.1481,600,,0.0003,0.0916,0.1888,0.1743,0.0025,0.0,0.0916,0.0596,0.0003,0.1192,0,0,0,0,0
20,93fe14ec32db9d9088988f2237dc5e9d,good,0,,0.0,0.1481,600,,0.0293,0.0395,0.1743,0.0913,0.148,0.0002,0.0395,0.0534,0.0015,0.1067,0,0,0,0,0
21,41cc014dc3ef427a70e03e8da72c2ad0,good,0,,0.0,0.1481,600,,0.0067,0.0671,0.219,0.1114,0.023,0.0,0.0671,0.0427,0.0004,0.0851,0,0,0,0,0
22,4035b700ddc3d6f9445416904a20a9bc,good,0,,0.0023,0.1481,600,,0.0001,0.3408,0.3396,0.3779,0.0019,0.0009,0.3408,0.1345,0.0015,0.2689,0,0,0,0,0
23,784ca61b706317b3fd3a35a82341f09f,good,0,,0.0058,0.1481,600,,0.0003,0.1888,0.2344,0.3257,0.0041,0.0,0.1888,0.0912,0.0003,0.1824,0,0,0,0,0
24,d46b1f8dde6151afc082eaed3dbc0602,good,0,,0.258,0.1481,600,误杀FP,0.0007,0.0741,0.3112,0.1345,0.0474,0.0,0.0741,0.0665,0.0,0.133,0,0,0,0,0
25,affe01b145a1520805cb9af501dd8475,good,0,,0.009,0.1481,600,,0.0001,0.1888,0.2963,0.25,0.0025,0.0,0.1888,0.0596,0.0003,0.1192,0,0,0,0,0
26,921e9f4257d8847617c0e423f1499813,good,0,,0.0168,0.1481,600,,0.023,0.0832,0.3397,0.219,0.0601,0.0002,0.0832,0.0338,0.0032,0.0675,0,0,0,0,0
27,3214e88e0de91722f09a76c892a10a4d,good,0,,0.0246,0.1481,600,,0.0002,0.0426,0.2189,0.1472,0.0052,0.0001,0.0426,0.0912,0.0015,0.1824,0,0,0,0,0
28,acb7776d2f71a3283a8633ecab9fdab3,good,0,,0.089,0.1481,600,误杀FP,0.023,0.0452,0.2657,0.0741,0.0474,0.0001,0.0452,0.0339,0.0003,0.0675,0,0,0,0,0
29,3ce4280eef9f1f905b951efccc1c0db7,good,0,,0.0021,0.1481,600,,0.0032,0.0479,0.2811,0.0665,0.0474,0.0001,0.0479,0.038,0.0002,0.0759,0,0,0,0,0
30,7612093cc5f5586b0cb993ae670e94fc,good,0,,0.0156,0.1481,600,,0.0019,0.0364,0.2189,0.1114,0.023,0.0,0.0364,0.0533,0.0002,0.1067,0,0,0,0,0
31,25a22289e8f1abf807ccbb78fbbdd670,bad,1,"还原度, 物理规律",0.0918,0.1481,600,漏检FN,0.0052,0.1895,0.3112,0.1888,0.018,0.0001,0.1895,0.074,0.0002,0.148,0,0,0,1,1
32,9d967f66a02727cddfb8faef03e2c8a0,good,0,,0.0,0.1481,600,,0.0009,0.0479,0.1743,0.1471,0.0067,0.0001,0.0479,0.0426,0.0006,0.0851,0,0,0,0,0
33,e3584577fed68da28f382dc5c500592a,good,0,,0.0,0.1481,600,,0.0067,0.0541,0.3113,0.1345,0.0373,0.0001,0.0541,0.074,0.0001,0.148,0,0,0,0,0
34,9dfd08e4d9e3f58c189359a5aab7517a,good,0,,0.0,0.1481,600,,0.0006,0.0912,0.3396,0.1345,0.0141,0.0,0.0912,0.0534,0.0,0.1067,0,0,0,0,0
35,8c4f4457d8edcc69d90ff5c87c913822,good,0,,0.0755,0.1481,600,,0.0019,0.052,0.3396,0.0823,0.011,0.0001,0.052,0.0596,0.0001,0.1192,0,0,0,0,0
36,44bf00670d664b44362cf902e7a16f75,good,0,,0.0402,0.1481,600,,0.0052,0.0192,0.1604,0.0534,0.0601,0.0,0.0192,0.0338,0.0003,0.0675,0,0,0,0,0
37,9220df86-4ab7-4510-9b4d-aa0b1a660578,good,0,,0.0,0.1481,600,,0.0003,0.0741,0.2037,0.1888,0.0086,0.0001,0.0741,0.0534,0.0002,0.1067,0,0,0,0,0
38,4aa88f5dd71d2391966dbf3053b4c889,good,0,,0.0,0.1481,600,,0.0004,0.0269,0.2344,0.1604,0.0086,0.0,0.0269,0.074,0.0001,0.148,0,0,0,0,0
39,d9a0a72b4d5a54583cac5f8a0fe0e3c7,good,0,,0.0651,0.1481,600,,0.0,0.101,0.2656,0.1225,0.0052,0.0,0.101,0.0596,0.0,0.1192,0,0,0,0,0
40,d9333173af83d0b0613ff5c4a23ad060,good,0,,0.0085,0.1481,600,,0.0001,0.0237,0.2344,0.2189,0.0006,0.0,0.0237,0.0477,0.0003,0.0953,0,0,0,0,0
41,e175ee3f7440cf33d69370c6d976609d,bad,1,物理规律,0.0161,0.1481,600,漏检FN,0.0032,0.1475,0.2811,0.1471,0.018,0.0,0.1475,0.0426,0.0015,0.0851,0,0,0,1,0
42,1f658fbc701b339d7a9b25366d0d9462,bad,1,还原度,0.0603,0.1481,600,漏检FN,0.0001,0.101,0.3257,0.2901,0.0025,0.018,0.101,0.1471,0.0019,0.2942,0,0,0,0,1
43,201b73d9e429ce92222303d9b76d9c85,good,0,,0.0651,0.1481,600,,0.0141,0.1472,0.3396,0.2037,0.3208,0.0001,0.1472,0.1226,0.0474,0.2451,0,0,0,0,0
44,cbd0a512bdcfc54fe5e8889611db7590,good,0,,0.104,0.1481,600,误杀FP,0.011,0.0824,0.3396,0.1744,0.148,0.0002,0.0824,0.0912,0.0003,0.1824,0,0,0,0,0
45,2b5e0a54d4fe29eae471a10c82b87be2,good,0,,0.0023,0.1481,600,,0.0373,0.3259,0.3398,0.3413,0.0601,0.0601,0.3259,0.0742,0.0052,0.148,0,0,0,0,0
46,6bbdfb8359b2a00653c0af12fff70c0c,good,0,,0.0223,0.1481,600,,0.0007,0.207,0.2344,0.2037,0.0086,0.0002,0.207,0.0534,0.0006,0.1067,0,0,0,0,0
47,766884c0e809981ccc6b3e3bb1d299d1,good,0,,0.0351,0.1481,600,,0.0025,0.1115,0.2963,0.25,0.0293,0.0001,0.1115,0.1471,0.0015,0.2942,0,0,0,0,0
48,845c1e928130b4d066e99b2f053f3b95,good,0,,0.0025,0.1481,600,,0.0032,0.0303,0.2189,0.1471,0.0474,0.0001,0.0303,0.0426,0.0032,0.0851,0,0,0,0,0
49,e8b92f26def8f49e93e06a60ff430b62,good,0,,0.016,0.1481,600,,0.011,0.3551,0.2811,0.0913,0.0141,0.0001,0.3551,0.0741,0.0141,0.148,0,0,0,0,0
50,3f25e9ca98c3aa5e6fc32db828719993,good,0,,0.0915,0.1481,600,误杀FP,0.0025,0.0477,0.3112,0.0823,0.0293,0.0,0.0477,0.0912,0.0012,0.1824,0,0,0,0,0
