video,p_base,p_e18
exact-r2__017c59f65cabc241c9ef5990259d488a7becfff0__爆炸菇（爆炸后）__v12__eyemask__d50d6fe5__c0.mp4,0.393662,0.390161
base-noprop__f4d25ec51527a18f0ee61a4803329a4966535857__粽子菇__v0__dbb2c007__c0.mp4,0.099793,0.164453
base-noprop__85485675b9afc7fa463bca0fd81c644d405acb2e__粽子菇__v0__51b32eee__c0.mp4,0.326375,0.341296
exact-r1__d1374c7b3666b2856a0808eca3479085172abdaf__蘑菇力__v1297__bubble__7fc52dc4__c0.mp4,0.05163,0.119608
exact-r1__51aaa255d1e150f9f845eb0dc6f5cf9ee644d4c2__吐司菇__v515__coffee__49cf7efc__c0.mp4,0.055643,0.160318
base-noprop__c3ad0151cf012ab92fe134a98d4a74d428a02c98__爆炸菇（爆炸前）__v0__f33b086c__c0.mp4,0.046376,0.037653
base-noprop__56bc114155a57e47100a6759d7b78d0befdb0a1f__吐司菇__v0__31af3246__c0.mp4,0.125091,0.140329
base-noprop__1df7005fbb426ec84155f9de604e394437faec56__毒蘑菇__v0__a7cf07d3__c0.mp4,0.041745,0.134329
base-noprop__ea77208c520ab108b30a7e6f72eddb04638cca12__汉堡菇__v0__cbef9c99__c0.mp4,0.073574,0.149784
exact-r1__162906640246ef44f99db4ad49276c513665eb1e__蘑菇力__v142__glasses__889682a9__c0.mp4,0.029968,0.103601
base-noprop__e17297a1dbbf07dbe3fecb987321a5713158816b__爆炸菇（爆炸前）__v0__a239dfdd__c0.mp4,0.247186,0.312204
base-noprop__58a25304d5897daa19607fb3b5ce8c1f9d1c340f__蘑菇力__v0__8676ccda__c0.mp4,0.074138,0.109564
generic__5fcaed1021788750740eaf4cb963c907ca733dc2__爆炸菇（爆炸前）__v363__flag__f28a34da__c0.mp4,0.06263,0.163497
exact-r2__256b55303d2ece49031dba768c8d8f85b8dabced__炸虾菇__v240__eyemask__ac4ffce8__c0.mp4,0.025737,0.106304
exact-r1__64f7ba46c3c16764be8347709ee03ebee90d68c2__炸虾菇__v639__scooter__ac6b2584__c0.mp4,0.347493,0.344521
exact-r1__62671de5d59372c360feb3d41db56086df4cc5db__毒蘑菇__v619__scooter__25ffefbe__c0.mp4,0.179093,0.188368
exact-r1__48172f0dfe98550b41a163b5c11c78aa0d297fd9__爆炸菇（爆炸后）__v459__glasses__56625650__c0.mp4,0.498333,0.424746
exact-r1__f267516ee3473fec084aa1cc59888922709abe1d__毒蘑菇__v1526__glasses__ec0ac680__c0.mp4,0.344125,0.3712
base-props__b6bd61a3bd7cb45a64f5f161b4fd05db5645825e__粽子菇__v730__crown__61c95450__c0.mp4,0.066505,0.146652
base-noprop__2e74efc28325e12fefad6028bd3e1e47f959c336__毒蘑菇__v0__53e5db28__c0.mp4,0.167483,0.262522
exact-r1__4bf0b051761534a857f0e278795a15afb31bef80__毒蘑菇__v485__eyemask__456293b6__c0.mp4,0.10787,0.162971
exact-r1__17267cdbab13c63bd29a987952c0bc6e4a671ac3__蘑菇力__v149__glasses__47690caa__c0.mp4,0.068381,0.160726
base-props__b2678863871b99530ba9e74fef126b3d90508f99__粽子菇__v712__flag__594ae7a3__c0.mp4,0.064358,0.137146
exact-r2__4b734340dea86eb026518f537642d75cec5d26c7__粽子菇__v480__glasses__09e00568__c0.mp4,0.562617,0.432394
